"search entire store here...","αναζήτηση ολόκληρο το κατάστημα εδώ ..."
"enter your e-mail...","εισάγετε το e-mail ..."
"NEWSLETTER SIGNUP","Εγγραφή στο Newsletter"
"FACEBOOK","FACEBOOK"
"TWITTER FEEDS","TWITTER FEEDS"
"Featured Products","Προτεινόμενα Προϊόντα"
"NEW PRODUCTS","ΝΕΑ ΠΡΟΙΟΝΤΑ"
"SALE PRODUCTS","Προϊόντα προς πώληση"
"upsell products","upsell προϊόντα"
"Language","Γλώσσα"
"Currency","Νόμισμα"
"Login","Σύνδεση"
"using",""
"Register","Εγγραφή"
"Account","Λογαριασμός"
"My Wishlist","Τα Επιθυμητά μου"
"My Wishlist (%d item)","Τα Επιθυμητά μου (%d)"
"My Wishlist (%d items)","Τα Επιθυμητά μου (%d)"
"My Cart","Το καλάθι μου"
"My Cart (%s item)","Το καλάθι μου ( %s item )"
"My Cart (%s items)","Το καλάθι μου ( %s items )"
"Checkout","Ταμείο"
"Log In","Σύνδεση"
"Compare (0)","Σύγκριση  (0)"
"Compare (%d items)","Σύγκριση  (%d items)"
"Compare (%d item)","Σύγκριση  (%d item)"
"Recently added item(s)","Τελευταίες καταχωρήσεις item (s)"
"Add to Wishlist","Προσθήκη στα Αγαπημένα"
"Add to Compare","Πρόσθεση στην Σύγκριση"
"Quick View","Quick View"
"was added to your cart","προστέθηκε στο καλάθι σας"
"Price","Τιμή"
"search","αναζήτηση"
"Related Products","Σχετικά Προϊόντα"
"View shopping cart","Δείτε το καλάθι αγορών"
"Email to a friend","e-mail σε ένα φίλο"
"Description","Περιγραφή"
"New","New"
"Sale","Sale"