"search entire store here...","toda búsqueda de la tienda aquí ..."
"enter your e-mail...","introduzca su e-mail ..."
"NEWSLETTER SIGNUP","NEWSLETTER SUSCRÍBETE"
"FACEBOOK","FACEBOOK"
"TWITTER FEEDS","TWITTER RSS"
"Featured Products","Productos Destacados"
"NEW PRODUCTS","Los nuevos productos"
"SALE PRODUCTS","PRODUCTOS EN VENTA"
"upsell products","aumentar las ventas de productos"
"Language","Language"
"Currency","Moneda"
"Login","Login"
"using","uso"
"Register","Registro"
"Account","Cuenta"
"My Wishlist","Mi Lista"
"My Wishlist (%d item)","Mi Lista de Deseos (%d elemento)"
"My Wishlist (%d items)","Mi Lista de Deseos (%d elementos)"
"My Cart","Mi Carrito"
"My Cart (%s item)","Mi Carrito ( %s elemento )"
"My Cart (%s items)","Mi Carrito ( %s elementos )"
"Checkout","Checkout"
"Log In","Entrar"
"Compare (0)","Comparar  (0)"
"Compare (%d items)","Comparar  (%d elementos)"
"Compare (%d item)","Comparar  (%d elemento)"
"Recently added item(s)","Elementos agregados recientemente (s)"
"Add to Wishlist","Añadir a la Lista de Deseos"
"Add to Compare","Añadir a comparar"
"Quick View","Quick View"
"was added to your cart","ha sido añadido a su cesta"
"Price","Precio"
"search","búsqueda"
"Related Products","Productos relacionados"
"View shopping cart","Ver carrito"
"Email to a friend","Enviar a un amigo"
"Description","Descripción"
"New","New"
"Sale","Sale"