"search entire store here...","rechercher ensemble du magasin ici..."
"enter your e-mail...", "entrer votre e-mail ..."
"NEWSLETTER SIGNUP","Lettre d'Information"
"FACEBOOK","FACEBOOK"
"TWITTER FEEDS","Feeds"
"Featured Products","Products Featured"
"NEW PRODUCTS","nouveaux produits"
"SALE PRODUCTS","produits de la vente"
"upsell products","vente incitative produits"
"Language","langue"
"Currency","monnaie"
"Login","Connexion"
"using",""
"Register","Inscrivez-vous"
"Account","considération"
"My Wishlist","ma liste d'envies"
"My Wishlist (%d item)","liste (%d)"
"My Wishlist (%d items)","liste (%d)"
"My Cart","Mon panier"
"My Cart (%s item)","Mon panier ( %s point )"
"My Cart (%s items)","Mon panier ( %s articles )"
"Checkout","caisse"
"Log In","Connexion"
"Compare (0)","comparer (0)"
"Compare (%d items)","comparer (%d articles)"
"Compare (%d item)","comparer (%d point)"
"Recently added item(s)","Objets ajoutés récemment (s)"
"Add to Wishlist","Ajouter à la liste"
"Add to Compare","Ajouter au comparateur"
"Quick View","Vue rapide"
"was added to your cart","a été ajouté à votre panier"
"Price","Prix"
"search","rechercher"
"Related Products","Produits associés"
"View shopping cart","View shopping cart"
"Email to a friend","Envoyer à un ami"
"Description","Description"
"New","New"
"Sale","Sale"